url,title,description,favicon,depth
https://en.wikipedia.org/wiki/Rwanda,Rwanda - Wikipedia,"Country in East Africa ""Ruanda"" redirects here.  For other uses, see Ruanda (disambiguation).",https://en.wikipedia.org/static/apple-touch/wikipedia.png,0
https://en.wikipedia.org/wiki/Ruanda_(disambiguation),Ruanda (disambiguation) - Wikipedia,"Look up Rwanda or Ruanda in Wiktionary, the free dictionary.  Rwanda or Ruanda is a country in East Africa.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Working_language,Working language - Wikipedia,"Language given a unique legal status in a supranational society A working language (also procedural language ) is a language that is given a unique legal status in a supranational company, society, state or other body or organization as its primary means of communication.  It is primarily the language of the daily correspondence and conversation, since the organization usually has members with various differing language backgrounds.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Great_Lakes_Twa,Great Lakes Twa - Wikipedia,"Pygmy ethnic group of the African Great Lakes region For Twa peoples elsewhere in Africa, see Twa .  Ethnic group Twa Mutwa with traditional bow and arrow Total population 80,000 Regions with significant populations Rwanda , Burundi , Democratic Republic of the Congo , Tanzania , Uganda Languages Rundi , Kiga , French , English , Dutch (historically) Religion Majority Mbuti mythology Minority Christian [ 1 ] Related ethnic groups Hutu , Tutsi The Great Lakes Twa , also known as Batwa (singular Mutwa ), Abatwa or Ge-Sera , are a Bantu speaking group native to the African Great Lakes region on the border of Central and East Africa.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Rwanda_Nziza,Rwanda Nziza - Wikipedia,"National anthem of Rwanda Rwanda Nziza English: Beautiful Rwanda National anthem of Rwanda Lyrics Faustin Murigo, 1990s Music Jean-Bosco Hashakaimana Adopted 1 January 2002 [ 1 ] Preceded by "" Rwanda Rwacu "" Audio sample U. S.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Coat_of_arms_of_Rwanda,Emblem of Rwanda - Wikipedia,"National symbol of Rwanda National emblem of Rwanda Armiger Republic of Rwanda Adopted December 31, 2001 ; 23 years ago ( 2001-12-31 ) Motto Ubumwe, Umurimo, Gukunda Igihugu ( Kinyarwanda ) Unity, Work, Patriotism ( English ) Unité, Travail, Patriotisme ( French ) Umoja, Kazi, Uzalendo ( Swahili ) Agaseke , traditional basket The Emblem of Rwanda is the national symbol and used by the Government of Rwanda .  It was restyled in 2001 to match the color scheme of the new national flag.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Ethnic_group,Ethnicity - Wikipedia,"Social group defined by shared cultural or ancestral traits For other uses, see Ethnicity (disambiguation) .  ""Ethnicities"" redirects here.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Kinyarwanda_language,Kinyarwanda - Wikipedia,"Bantu language official in Rwanda For the 2011 film based on the Rwandan genocide, see Kinyarwanda (film) .  Kinyarwanda Rwandan Ikinyarwanda Native to Rwanda , Uganda , DR Congo Ethnicity Banyarwanda Native speakers 15 million (2014–2024) [ 1 ] Language family Niger–Congo ? Atlantic–Congo Volta-Congo Benue–Congo Bantoid Southern Bantoid Bantu Northeast Bantu Great Lakes Bantu Western Lakes Bantu Rwanda-Rundi Kinyarwanda Dialects Bufumbwa Ikinyabwishya Igikiga Ikinyamurenge Ikirera Urufumbira Urutwatwa Igifefeko ikijomba Writing system Latin Official status Official language in Rwanda Language codes ISO 639-1 rw ISO 639-2 kin ISO 639-3 kin Glottolog kiny1244 Guthrie code JD.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/National_language,National language - Wikipedia,"Language with de jure or de facto national status Not to be confused with Nation language , Official language , or Regional language .  Part of a series on Nationalism Nation forming Nationalism in Antiquity Nationalism in the Middle Ages Anthem Church Colours Emblem Father Flag Epic God Identity Persona Language Myth Sport State Symbol Treasure Animal Core values Allegiance Independence Patriotism Self-determination Solidarity Types Anarchist Blind Bourgeois Business Welfare Civic Communist Constitutional patriotism Corporate Cyber- Ecological Economic Ethnic Ethnopluralism Expansionist Homosexual Indigenism Integral Internet- Left-wing ( populism ) Musical Mystic Neo- Pan- Racial Religious Clerical Resource Revolutionary National syndicalist National Bolshevik Fascism Nazism Romantic Technological Territorial Trans- Ultra- Organizations List of nationalist organizations Related concepts Anationalism Anti-nationalism Anti-globalization movement Anti-imperialism Banal nationalism Civil religion Communitarianism Cosmopolitanism Cultural nationalism Diaspora politics Ethnocentrism Francoism Gastronationalism Gender and nationalism Globalism Historiography and nationalism Imagined community Imperialism Internationalism Irredentism Jingoism Localism Militarism National indifference Nationalism studies Nativism Plurinationalism Post- Racism Revanchism Right-wing populism Seasonal or cultural festival Subsidiarity in Catholicism Trumpism Xenophobia Politics portal v t e A national language is a language (or language variant , e.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Islam_in_Rwanda,Islam in Rwanda - Wikipedia,"Islam by country World percentage of Muslims by country Africa Algeria Angola Benin Botswana Burkina Faso Burundi Cameroon Cape Verde Central African Republic Chad Comoros Democratic Republic of the Congo Republic of the Congo Djibouti Egypt Equatorial Guinea Eritrea Eswatini Ethiopia Gabon Gambia Ghana Guinea Guinea-Bissau Ivory Coast Kenya Lesotho Liberia Libya Madagascar Malawi Mali Mauritania Mauritius Mayotte Morocco Western Sahara Mozambique Namibia Niger Nigeria Réunion Rwanda São Tomé and Príncipe Senegal Seychelles Sierra Leone Somalia South Africa South Sudan Sudan Tanzania Togo Tunisia Uganda Zambia Zimbabwe Asia Afghanistan Armenia Azerbaijan Bahrain Bangladesh Bhutan Brunei Cambodia China Cyprus Georgia Hong Kong India Indonesia Iran Iraq Israel Japan Jordan Kazakhstan Korea North Korea South Korea Kuwait Kyrgyzstan Laos Lebanon Macau Malaysia Maldives Mongolia Myanmar Nepal Oman Pakistan Palestine Philippines Qatar Saudi Arabia Singapore Sri Lanka Syria Taiwan Tajikistan Thailand Timor-Leste Turkey Turkmenistan United Arab Emirates Uzbekistan Vietnam Yemen Americas Antigua and Barbuda Argentina Bahamas Barbados Belize Bolivia Brazil Canada Chile Colombia Costa Rica Cuba Dominica Dominican Republic Ecuador El Salvador French Guiana Grenada Guatemala Guyana Haiti Honduras Jamaica Mexico Nicaragua Panama Paraguay Peru Saint Kitts and Nevis Saint Lucia Saint Vincent and the Grenadines Suriname Trinidad and Tobago United States Uruguay Venezuela Europe Albania Andorra Austria Belarus Belgium Bosnia and Herzegovina Bulgaria Croatia Czechia Denmark Estonia Finland France Germany Greece Hungary Iceland Ireland Italy Kosovo Latvia Liechtenstein Lithuania Luxembourg Malta Moldova Monaco Montenegro Netherlands North Macedonia Norway Poland Portugal Romania Russia Tatarstan San Marino Serbia Slovakia Slovenia Spain Sweden Switzerland Ukraine United Kingdom England Northern Ireland Scotland Wales Oceania Australia Christmas Island Cocos (Keeling) Islands Cook Islands Fiji Guam Kiribati Marshall Islands Micronesia Nauru New Caledonia New Zealand Northern Mariana Islands Palau Papua New Guinea Samoa Solomon Islands Tonga Tuvalu Vanuatu Islam portal v t e Mosque kadafi Islam is a minority religion in Rwanda , practiced by 2% of the total population according to the 2022 census.  [ 1 ] Virtually all Muslims in Rwanda are Sunni Muslim.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Hutu,Hutu - Wikipedia,"Ethnic group of the African Great Lakes region This article is about the African ethnic group.  For the New Zealand native tree, see Ascarina lucida.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Swahili_language,Swahili - Wikipedia,"Bantu language This article is about the language.  For other uses, see Swahili (disambiguation).",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Kinyarwanda,Kinyarwanda - Wikipedia,"Bantu language official in Rwanda For the 2011 film based on the Rwandan genocide, see Kinyarwanda (film) .  Kinyarwanda Rwandan Ikinyarwanda Native to Rwanda , Uganda , DR Congo Ethnicity Banyarwanda Native speakers 15 million (2014–2024) [ 1 ] Language family Niger–Congo ? Atlantic–Congo Volta-Congo Benue–Congo Bantoid Southern Bantoid Bantu Northeast Bantu Great Lakes Bantu Western Lakes Bantu Rwanda-Rundi Kinyarwanda Dialects Bufumbwa Ikinyabwishya Igikiga Ikinyamurenge Ikirera Urufumbira Urutwatwa Igifefeko ikijomba Writing system Latin Official status Official language in Rwanda Language codes ISO 639-1 rw ISO 639-2 kin ISO 639-3 kin Glottolog kiny1244 Guthrie code JD.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Irreligion,Irreligion - Wikipedia,"Absence, indifference to, rejection of or hostility towards religion ""Irreligious"" redirects here.  For the album by Moonspell, see Irreligious (album).",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Banyarwanda,Banyarwanda - Wikipedia,"Ethnolinguistic group native to Rwanda ""Rwandans"" redirects here.  For information on the population of Rwanda, see Demographics of Rwanda.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Wikipedia:Templates_for_discussion/Log/2025_September_25,Wikipedia:Templates for discussion/Log/2025 September 25 - Wikipedia,< September 24 September 26 > September 25 [ edit ] Template:Infobox NCAA athlete [ edit ] Template:Infobox NCAA athlete ( talk · history · transclusions · logs · subpages ) Only 83 uses.  Those should use a more specific infobox or {{ infobox sportsperson }}.,https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Belgian_French,Belgian French - Wikipedia,Variety of French language This article needs additional citations for verification .  Please help improve this article by adding citations to reliable sources.,https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://geohack.toolforge.org/geohack.php?pagename=Rwanda&params=1_56_38_S_30_3_34_E_type:city_region:RW-01,GeoHack - Rwanda,"GeoHack - Rwanda GeoHack - Rwanda DMS Decimal 1° 56′ 38″ S , 30° 3′ 34″ E -1. 943889 , 30.",https://geohack.toolforge.org/geohack/siteicon.png,1
https://en.wikipedia.org/wiki/Flag_of_Rwanda,Flag of Rwanda - Wikipedia,"Republic of Rwanda Use National flag Proportion 2:3 [ a ] Adopted 31 December 2001 ; 23 years ago ( 2001-12-31 ) Design A horizontal tricolour of blue, yellow, and green in a 2:1:1 ratio, charged with a golden sun in the upper fly Designed by Alphonse Kirimobenecyo The national flag of Rwanda is a horizontal tricolour of light blue, yellow, and green, in a 2:1:1 ratio, charged with a golden sun in the upper fly-side corner.  It was adopted on 31 December 2001 and replaced the flag adopted shortly before independence.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Tutsi,Tutsi - Wikipedia,"Ethnic group of the African Great Lakes region This article is about the ethnic group.  For other uses, see Watusi.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Semi-presidential_republic,Semi-presidential republic - Wikipedia,System of government Not to be confused with Semi-parliamentary system or Presidential system .  World's states colored by systems of government : Parliamentary systems : Head of government is elected or nominated by and accountable to the legislature.,https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/French_language,French language - Wikipedia,"Romance language Not to be confused with Lingua franca .  This article should specify the language of its non-English content using {{ lang }} or {{ langx }} , {{ transliteration }} for transliterated languages, and {{ IPA }} for phonetic transcriptions, with an appropriate ISO 639 code.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Template:Infobox_country,Template:Infobox country - Wikipedia,This template is being considered for merging with Template:Infobox former subdivision .  Please discuss this matter at this template's entry at templates for discussion to help reach a consensus.,https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Kigali,Kigali - Wikipedia,Capital and the largest city of Rwanda Capital city in Rwanda Kigali Capital city Kigali City A street in Kigali city Kigali Convention Center Kigali CBD Gorilla monument and Kigali City Council Campaign Against Genocide Museum Rwandan Parliament Building University of Technology and Arts of Byumba (campus) Kigali Show map of Rwanda Kigali Show map of Africa Coordinates: 1°56′38″S 30°3′34″E ﻿ / ﻿ 1. 94389°S 30.,https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Demonym,Demonym - Wikipedia,"Name for a resident of a particular geographical area Part of a series on Linguistics Outline History Index General linguistics Diachronic Lexicography Morphology Phonology Pragmatics Semantics Syntax Syntax–semantics interface Typology Applied linguistics Acquisition Anthropological Applied Mathematical Computational Conversation analysis Corpus linguistics Discourse analysis Determinism Distance Documentation Ethnography of communication Ethnomethodology Forensic History of linguistics Interlinguistics Neurolinguistics Philology Philosophy of language Phonetics Psycholinguistics Sociolinguistics Text Translating and interpreting Writing systems Theoretical frameworks Formalist Constituency Dependency Distributionalism Generative Glossematics Functional Cognitive Construction grammar Functional discourse grammar Grammaticalization Interactional linguistics Prague circle Systemic functional Usage-based Structuralism Topics Autonomy of syntax Compositionality Conservative and innovative language Descriptivism Etymology Iconicity Internet linguistics LGBTQ linguistics Origin of language Orismology Orthography Philosophy of linguistics Prescriptivism Second-language acquisition Theory of language Terminology Portal v t e A demonym ( / ˈ d ɛ m ə n ɪ m / ; from Ancient Greek δῆμος ( dêmos ) ' people , tribe ' and ὄνυμα ( ónuma ) ' name ' ) or ' gentilic ' (from Latin gentilis ' of a clan , or gens ' ) [ 1 ] is a word that identifies a group of people ( inhabitants , residents , natives ) in relation to a particular place.  [ 2 ] Demonyms are usually derived from the name of the place ( hamlet , village , town , city , region , province , state , country , and continent ).",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Politics_of_Rwanda,Politics of Rwanda - Wikipedia,"Politics of Rwanda Politiki y'u Rwanda ( Kinyarwanda ) Politique en Rwanda ( French ) Siasa ya Rwanda ( Swahili ) Seal of Rwanda Polity type De facto : one-party state Nominally unitary dominant-party semi-presidential constitutional republic Constitution Constitution of Rwanda Legislative branch Name Parliament Type Bicameral Upper house Name Senate Presiding officer Augustin Iyamuremye , Speaker of the Senate Lower house Name Chamber of Deputies Presiding officer Donatille Mukabalisa , Speaker of the Chamber of Deputies Executive branch Head of state Title President of Rwanda Currently Paul Kagame Appointer Direct popular vote Head of government Title Prime Minister Currently Édouard Ngirente Appointer President Cabinet Name Cabinet of Rwanda Current cabinet Kagame government Leader President Deputy leader Prime Minister Appointer President Judicial branch Supreme Court of Rwanda Chief judge Faustin Ntezilyayo Politics of Rwanda Constitution Human rights International Criminal Tribunal Government President Paul Kagame Prime Minister Justin Nsengiyumva Cabinet Parliament Senate President: François-Xavier Kalinda Chamber of Deputies Speaker : Gertrude Kazarwa Judiciary Supreme Court Administrative divisions Provinces Districts Elections Recent elections President: 2017 2024 Assembly: 2018 2024 Senate: 2011 2019 Political parties Foreign relations Ministry of Foreign Affairs and Cooperation Ministry : Olivier Nduhungirehe Diplomatic missions of / in Rwanda Passport Visa requirements Visa policy United Nations in Rwanda UNOMUR UNAMIR UNREO v t e The Republic of Rwanda is politically a de facto one-party republic [ 1 ] [ 2 ] [ 3 ] [ 4 ] [ 5 ] [ 6 ] [ 7 ] governed by the Rwandan Patriotic Front (RPF) and its leader, Paul Kagame , who was formally elected in 2000, since the RPF played the primary role in ending the 1994 genocide .  [ 8 ] [ 9 ] [ 10 ] Although Rwanda is nominally democratic, elections are manipulated in various ways, which include banning opposition parties, arresting or assassinating critics, and electoral fraud.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/List_of_Presidents_of_Rwanda,List of presidents of Rwanda - Wikipedia,"Head of State of Rwanda President of the Republic of Rwanda Perezida wa Repubulika y’u Rwanda ( Kinyarwanda ) Président de la République du Rwanda ( French ) Presidential Standard Incumbent Paul Kagame since 22 April 2000 Acting: 24 March – 22 April 2000 Style Mr President (informal) His Excellency (diplomatic) Type Head of state Executive president Residence Village Urugwiro Seat Kigali Appointer Popular vote Term length Five years, renewable Constituting instrument Constitution of Rwanda (2003) Formation 28 January 1961 ; 64 years ago ( 1961-01-28 ) First holder Dominique Mbonyumutwa Salary US$85,000 annually [ 1 ] Website Official Website Politics of Rwanda Constitution Human rights International Criminal Tribunal Government President Paul Kagame Prime Minister Justin Nsengiyumva Cabinet Parliament Senate President: François-Xavier Kalinda Chamber of Deputies Speaker : Gertrude Kazarwa Judiciary Supreme Court Administrative divisions Provinces Districts Elections Recent elections President: 2017 2024 Assembly: 2018 2024 Senate: 2011 2019 Political parties Foreign relations Ministry of Foreign Affairs and Cooperation Ministry : Olivier Nduhungirehe Diplomatic missions of / in Rwanda Passport Visa requirements Visa policy United Nations in Rwanda UNOMUR UNAMIR UNREO v t e This article lists the presidents of Rwanda since the creation of the office in 1961 (during the Rwandan Revolution ), to the present day.  The president of Rwanda is the head of state and head of executive [ 2 ] of the Republic of Rwanda.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/English_Language,English language - Wikipedia,"West Germanic language English Pronunciation / ˈ ɪ ŋ ɡ l ɪ ʃ / ING-lish [ 1 ] Native to The English-speaking world , including the United Kingdom , United States , Canada , Australia , Ireland , New Zealand , Commonwealth Caribbean , South Africa and others Speakers L1 : 380 million (2021) [ 2 ] L2 : 1. 077 billion (2021) [ 3 ] Total : 1.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/English_language,English language - Wikipedia,"West Germanic language English Pronunciation / ˈ ɪ ŋ ɡ l ɪ ʃ / ING-lish [ 1 ] Native to The English-speaking world , including the United Kingdom , United States , Canada , Australia , Ireland , New Zealand , Commonwealth Caribbean , South Africa and others Speakers L1 : 380 million (2021) [ 2 ] L2 : 1. 077 billion (2021) [ 3 ] Total : 1.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Dictatorship,Dictatorship - Wikipedia,"Form of government Part of the Politics series Basic forms of government List of forms · List of countries Source of power Democracy ( rule by many ) Demarchy Direct Economic Liberal Representative Social Socialist Others Oligarchy (rule by few) Anocracy Aristocracy Broligarchy Gerontocracy Kleptocracy Kritarchy Meritocracy Noocracy Particracy Plutocracy Stratocracy Technocracy Theocracy Autocracy ( rule by one ) Despotism Dictatorship Military dictatorship Tyranny Anarchy (rule by none) Anarchism Free association Stateless Power ideology Monarchy Republic (socio-political ideologies) Absolute Communist Constitutional Directorial Legalist Parliamentary Presidential Semi-presidential Authoritarian Libertarian (socio-economic ideologies) Anarchism Colonialism Communism Despotism Distributism Fascism Feudalism Islamism Socialism Totalitarianism Tribalism Religious Secular State religion Secular state Separation of church and state State atheism Global Local (geo-cultural ideologies) City-state Intergovernmental organisation National government World government Nationalism Internationalism Globalism Power structure Unitarism Unitary state Empire Principality Client state Associated state Dependent territory Dominion Protectorate Puppet state Puppet monarch Satellite state Self-governing colony Tributary state Buffer state Vassal state Viceroyalty Federalism Confederation Devolution Federation Superstate Supranational union International relations Small power Middle power Regional power Emerging power Great power Superpower Related Administrative division Democracy indices Democratic transition Autocratization Democratisation Hybrid regimes Politics portal v t e A dictatorship is a form of government which is characterized by a leader, or a group of leaders, who hold absolute or near-absolute political power.  [ 1 ] Politics in a dictatorship are controlled by a dictator , and they are facilitated through an inner circle of elites that includes advisers, generals, and other high-ranking officials.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Authoritarianism,Authoritarianism - Wikipedia,"Political system characterized by the rejection of political pluralism This article is about authoritarianism in political science and organizational studies.  For authoritarianism in psychology, see Authoritarian personality.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
https://en.wikipedia.org/wiki/Christianity,Christianity - Wikipedia,"Abrahamic monotheistic religion ""Christian faith"" redirects here.  For the theological concept, see Faith in Christianity.",https://en.wikipedia.org/static/apple-touch/wikipedia.png,1
